"disease
","disease_name
",disease_type,disease_description,chemical_control,natural_remedies
common_rust,Common rust,"Fungal disease   
","Common rust, caused by the fungus Puccinia sorghi, is a prevalent disease. Symptoms include small, circular to oval-shaped orange to reddish-brown pustules on both leaf surfaces. These pustules contain masses of powdery spores. Severe infections can lead to reduced photosynthesis, stunted growth, and yield losses.
","- triazoles, 
- strobilurins, 
- difenoconazole,
- propiconazole","- neem oil,  - garlic extract,  - copper, sulfur, or potassium bicarbonate"
early_blight,Early blight,"Fungal disease   
","Early blight, caused by the fungus Alternaria solani, affects tomatoes and potatoes. Symptoms include small, dark lesions on lower leaves, which expand into irregularly shaped spots with concentric rings. Leaves may yellow and die prematurely, leading to reduced yield if not managed.
","- chlorothalonil (0.20%), 
- mancozeb (0.20%),
- propineb (0.20%)","- Neem Oil, - Copper-Based Fungicides,                           - Baking - Soda Solution"
gray_leaf_spot,Gray leaf spot,"Fungal disease   
","Gray leaf spot is a fungal disease. Symptoms include small, rectangular gray lesions on leaves, which expand and coalesce, forming larger spots. Severe infections lead to leaf yellowing, necrosis, and reduced plant vigor. 
","- azoxystrobin, 
- propiconazole, 
- pyraclostrobin","- neem oil,  - garlic extract,  - copper, sulfur, or potassium bicarbonate"
isariopsis_leaf_spot,Isariopsis leaf spot,"Fungal disease   
","Isariopsis leaf spot, caused by the fungus Isariopsis griseola. Symptoms include small, angular lesions on leaves that start as water-soaked spots and progress to brown or gray necrotic areas with a yellow halo. Lesions may coalesce, leading to defoliation and reduced yield if severe 
","- azoxystrobin, 
- Boscalid, 
- Cyprodinil, 
- Tebuconazole,
- Thiophanate-methyl","- Neem Oil, - Copper-Based Fungicides, - Baking - Soda Solution"
late_blight,Late blight,"Fungal disease   
","Late blight is a fungal disease caused by the oomycete pathogen Phytophthora infestans, is a devastating disease affecting plants like potatoes and tomatoes. Symptoms include dark, water-soaked lesions on leaves, stems, and fruit, rapidly turning brown and becoming covered in a fuzzy white mold in humid conditions. It can lead to widespread plant destruction and significant yield loss if not managed promptly.
","- Metalaxyl-M, 
- Fosetyl-Al, 
- Fluazinam, 
- Cymoxanil,
- Mancozeb","- Neem Oil, - Copper-Based Fungicides, - Baking - Soda Solution"
leaf_curl,Leaf curl,"Multiple disease 
","Leaf curl is a plant disease characterized by the curling and distortion of leaves. Symptoms include upward or downward curling of leaf margins, puckering, and reduced leaf size. It's often caused by viral infections, such as Tomato leaf curl virus, transmitted by whiteflies, and can result in stunted growth and reduced yield in affected plants. 
","- Neonicotinoids, 
- Pyrethroids, 
- Spirotetramat","- Neem Oil, - Copper-Based Fungicides, - Baking - Soda Solution"
leaf_mold,Leaf mold,"Fungal disease   
","Leaf mold is a fungal disease caused by the pathogen Fulvia fulva (formerly known as Cladosporium fulvum). Symptoms include yellowing and wilting of leaves, accompanied by the development of fuzzy, olive-green to brown patches on the undersides of leaves.","- Neonicotinoids, 
- Pyrethroids, 
- Organophosphates, 
- Carbamates","- neem oil,  - garlic extract,  - copper, sulfur, or potassium bicarbonate"
mosaic_disease,Mosaic disease,"Virus disease   
","Mosaic disease is a viral infection characterized by irregular patterns of light and dark green patches or streaks on leaves. Symptoms include stunted growth, distorted foliage, and reduced yields. It affects a wide range of plants, including cucurbits, tomatoes, peppers, and beans.
","- Neonicotinoids, 
- Pyrethroids, 
- Glyphosate, 
- Organophosphates","- neem oil,  - Garlic and Pepper Spray, - peppermint oil,  - clove oil"
northern_leaf_blight,Northern leaf blight,"Fungal disease   
","Northern leaf blight, caused by the fungus Exserohilum turcicum. Symptoms include long, narrow, cigar-shaped lesions on leaves, starting as small, water-soaked spots and expanding into tan to grayish-brown blotches with wavy margins. Severe infections lead to premature leaf death, reduced photosynthesis, and yield loss.","- Azoxystrobin, 
- Pyraclostrobin, 
- Trifloxystrobin, 
- Propiconazole, 
- Tebuconazole","- neem oil,  - garlic extract,  - copper, sulfur, or potassium bicarbonate"
powdery_mildew,Powdery mildew,"Fungal disease   
","Powdery mildew is a fungal disease characterized by the presence of white to grayish powdery patches on the surfaces of leaves, stems, and sometimes flowers or fruit. Symptoms include distorted growth, stunted development, and premature leaf drop.","- Myclobutanil, 
- Azoxystrobin, 
- Propiconazole,
- Potassium bicarbonate","- neem oil,  - garlic extract,  - copper, sulfur, or potassium bicarbonate"
red_rot,Red rot,"Fungal disease   
","Red rot is a destructive fungal disease caused by the pathogen Colletotrichum falcatum. Symptoms include reddish-brown lesions on stalks, internal discoloration, and rotting of vascular tissues, leading to stunted growth, reduced sugar content, and yield losses.
","- Neonicotinoids, 
- Pyrethroids, 
- Propiconazole,
- Potassium bicarbonate","- neem oil,  - garlic extract,  - copper, sulfur, or potassium bicarbonate"
spider_mites,Spider mites,"Pest disease   
","Spider mites are tiny arachnids that feed on plant sap by piercing leaf tissue with their mouthparts. They are barely visible to the naked eye but can be identified by fine webbing they produce on leaves. Symptoms include stippling (tiny yellow or white spots) on leaves, webbing on leaves and between plant parts, leaf discoloration, and eventual leaf drop.","- Abamectin, 
- Spiromesifen, 
- Bifenazate, 
- Pyridaben,","- neem oil,  - Garlic and Pepper Spray, - peppermint oil,  - rosemary oil, - clove oil"
target_spot,Target spot,Fungal disease   ,"Target spot, caused by the fungus Corynespora cassiicola, is a foliar disease that affects various crops, including tomatoes, soybeans, and cotton. Symptoms include small, circular lesions on leaves with concentric rings resembling a target pattern. Lesions may turn tan or gray with dark margins as they enlarge, leading to premature defoliation if severe.","- Myclobutanil, 
- Mancozeb, 
- Captan, 
- Fenbuconazole, 
- Boscalid","- neem oil,  - garlic extract,  - copper, sulfur, or potassium bicarbonate"
tungro,Tungro,"Virus disease   
","Tungro is a viral disease affecting rice plants, transmitted by leafhopper insects. Symptoms include stunted growth, yellowing and reddening of leaves, and reduced tillering. Infected plants often exhibit ""hopperburn"" or drying of leaf tips.","- glyphosate, 
- propanil, 
- carbamates, 
- pyrethroids","- neem oil,  - garlic extract"
